epoch,train_loss,train_accuracy,test_loss,test_accuracy
48.0,3.5070408866228653,17.072,3.5001226043701172,17.63
49.0,3.506751986720678,17.38,3.4853993129730223,17.8
50.0,3.481462255463271,17.57,3.531491496562958,17.36
51.0,3.4808692572366855,17.548,3.4718363428115846,18.46
52.0,3.464008734964044,17.934,3.4594567584991456,18.4
53.0,3.4456824701460427,18.306,3.4786819577217103,17.99
54.0,3.4377261452052905,18.29,3.4445263814926146,18.67
55.0,3.4387033821066932,18.426,3.457189688682556,18.02
56.0,3.4062127012121097,18.622,3.433132882118225,19.31
57.0,3.3915542769614997,19.24,3.4142442607879637,18.61
58.0,3.3800445139560553,19.248,3.3841142416000367,19.73
59.0,3.364007255915181,19.62,3.3727744317054746,19.85
60.0,3.350341484674712,19.882,3.3519770193099974,20.27
61.0,3.3217950903851055,20.378,3.3172366619110107,20.78
62.0,3.3003922685637805,20.544,3.3032188248634338,20.77
63.0,3.279713841045604,21.082,3.3151976752281187,21.07
64.0,3.262573004378687,21.302,3.272655398845673,21.46
65.0,3.237958411121612,21.862,3.2630236530303955,21.56
66.0,3.2097234677170854,22.126,3.2346030020713807,22.54
67.0,4.36231955481917,4.386,4.269360151290893,4.15
68.0,4.192122991127736,5.616,4.040304477214813,7.84
69.0,4.048222240584586,7.788,3.9779518270492553,8.95
70.0,3.963739840270918,8.96,3.948267412185669,9.72
71.0,3.901390745206867,9.97,3.8128172087669374,11.36
72.0,3.8532644543806307,10.866,3.8117199659347536,11.54
73.0,3.80767114631965,11.61,3.7566550302505495,12.08
74.0,3.772597487930142,12.06,3.7590008544921876,12.52
75.0,3.747466819670499,12.582,3.71622633934021,13.63
76.0,3.731053695044554,12.876,3.6989170837402345,13.83
77.0,3.707704420284847,13.194,3.6548536133766176,14.35
78.0,3.6944095624987123,13.532,3.6679188919067385,13.88
79.0,3.6775603483400077,13.728,3.6776145672798157,14.61
80.0,3.6853261493965794,13.556,3.619222674369812,14.85
81.0,3.656886048938917,14.002,3.6781809544563293,13.61
82.0,3.647319775408186,14.198,3.617632293701172,15.49
83.0,3.6372047659686153,14.38,3.567329659461975,15.59
84.0,3.624860242199715,14.704,3.5488698720932006,16.46
85.0,3.6189016704364203,14.84,3.561360487937927,16.29
86.0,3.6058068293744645,14.916,3.5827701330184936,15.76
87.0,3.6024551598922065,15.132,3.5549017453193663,16.03
88.0,3.58766557676408,15.168,3.5496439003944396,16.11
89.0,3.5820663847276926,15.254,3.574451050758362,15.92
90.0,3.5710981044622945,15.612,3.507173306941986,17.2
91.0,3.560469124933033,15.988,3.544668095111847,16.02
92.0,3.5557762582588683,15.948,3.5074547481536866,16.98
93.0,3.5488901241965918,16.122,3.5213995480537417,16.84
94.0,3.5402055987921517,16.026,3.479164891242981,17.35
95.0,3.5168108927929187,16.526,3.4988801074028015,17.08
96.0,3.518539149438024,16.466,3.476654212474823,17.59
97.0,3.502835662163737,16.838,3.4765957474708555,17.0
98.0,3.4821810075998916,17.194,3.44409991979599,17.7
99.0,3.464899166160837,17.608,3.4258196258544924,18.77
100.0,3.459310596251427,17.598,3.4043226861953735,18.6
