Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.8633454900873286,7.764,3.603537817001343,14.18
2,0.7431272356711385,18.328,3.2455712747573853,21.37
3,0.6642837463437444,25.614,2.888951723575592,28.2
4,0.6089706780660488,31.378,2.7546912360191347,29.58
5,0.560125222291483,36.554,2.57746258020401,34.61
6,0.5131297462126788,40.848,2.4212539553642274,38.37
7,0.4688895605409237,44.684,2.2716073751449586,42.26
8,0.4397037626837221,48.766,2.0907157683372497,44.69
9,0.3998978445901895,52.47,1.9916746318340302,47.08
10,0.3617208122902209,56.248,1.9981269252300262,47.57
11,0.32958943764571946,60.264,1.8484010732173919,50.89
12,0.29023132741908586,64.316,1.7666447520256043,53.3
13,0.24630822062187488,68.384,1.7215875440835953,55.07
14,0.22717366712477505,71.438,1.6964816796779632,55.15
15,0.2091080438145591,74.336,1.662380211353302,56.25
16,0.4311092546223984,48.242,2.0469326066970823,46.1
17,0.40273991600631753,51.882,2.0014645111560823,47.14
18,0.38932525837208,54.514,1.9975499892234803,47.01
19,0.3570994870437076,56.85,1.8793463826179504,49.78
20,0.3294335954329547,59.338,1.9268390226364136,49.09
21,0.31866273200115586,61.508,1.8531605195999146,51.45
22,0.3040313995097909,63.57,1.8399205565452577,51.51
23,0.27287363045660734,65.952,1.8370550441741944,51.69
24,0.25841755452363385,68.224,1.6924695265293122,55.41
25,0.2463302662610398,69.874,1.680881654024124,55.52
26,0.22255514954666958,71.974,1.6864074075222015,55.48
27,0.20812888310083646,74.482,1.697728350162506,56.37
28,0.1920109360724154,76.29,1.645467991232872,57.27
29,0.1706120089801681,78.548,1.6765901041030884,57.41
30,0.15518714453253296,80.898,1.7151761364936828,57.9
31,0.13670083057240148,83.496,1.763999080657959,56.52
32,0.11350122246595905,85.214,1.6820508068799973,59.83
33,0.09894838342276376,87.446,1.7255214512348176,59.19
34,0.0821449654867582,89.712,1.722181955575943,61.01
35,0.061727962911586325,91.742,1.7736501914262772,61.23
36,0.04901665733064837,93.804,1.7855624806880952,61.83
37,0.036456686075386185,95.398,1.8246664386987685,62.15
38,0.027833693005773416,96.668,1.8337300908565521,62.74
39,0.020127972859479582,97.506,1.8181755405664444,63.93
40,0.015034895957164143,98.278,1.822620249390602,64.5
41,0.01227251111822741,98.718,1.8089151805639268,64.66
42,0.010045031035590507,98.938,1.8304291599988938,64.58
43,0.008666705733160382,99.126,1.8260114240646361,65.06
44,0.007773555638959341,99.16,1.8305827575922011,64.76
45,0.007018021150680302,99.326,1.8320262533426286,64.92
46,0.2511094320765542,67.568,2.099863820075989,48.9
47,0.23538738824522404,70.724,1.8251428604125977,53.38
48,0.2133304769425746,73.11,1.7250696170330047,55.83
49,0.19940533921541764,75.13,1.788497087955475,54.94
50,0.18951651629279642,76.148,1.7272318184375763,56.29
51,0.18581991137750922,77.042,1.7661475217342377,56.33
52,0.1671932494396444,78.448,1.8075458896160126,56.29
53,0.16427547440809362,79.298,1.8233747243881226,55.25
54,0.1572920143451837,80.698,1.7586826229095458,57.5
55,0.15383718888777906,80.922,1.8251899755001069,55.87
56,0.1395410589702294,82.06,1.8104941046237946,56.85
57,0.136612702437374,83.268,1.9035311508178712,56.1
58,0.12982967770313059,83.866,1.8868731307983397,57.26
59,0.12133088967074519,84.616,1.871260027885437,57.3
60,0.11660020773672997,85.588,1.8431939458847046,57.28
61,0.11330612396340237,86.048,1.9585818684101104,56.72
62,0.10460760107125773,86.73,1.9379391944408417,56.9
63,0.09975630422229961,87.592,1.8237453985214234,58.77
64,0.09713736488995954,88.274,1.9164022088050843,58.0
65,0.09086932737351683,89.026,1.8972703981399537,57.98
66,0.08170295668684918,89.71,1.891094366312027,59.4
67,0.08231413272945472,90.258,1.901544053554535,58.6
68,0.06867815161605015,91.048,1.958436996936798,59.41
69,0.06582562735928293,91.852,1.9801991641521455,58.43
70,0.06311418790646527,92.47,1.9649454963207245,58.58
71,0.058937939669927365,93.178,1.970557962656021,59.73
72,0.04796152125539072,94.054,1.97363201379776,59.91
73,0.04648518794790253,94.448,1.91239426612854,61.48
74,0.037233256260909696,95.414,1.9849954485893249,60.6
75,0.03434849339906517,95.728,1.9510788416862488,61.58
76,0.03026278932457385,96.052,1.9091212952136993,62.27
77,0.02384202563396805,96.984,1.963450288772583,61.61
78,0.016721232196368525,97.858,2.0138901376724245,61.89
79,0.014583350814250119,98.06,1.9279302835464478,62.88
80,0.011695419907417444,98.582,1.8978622287511826,63.73
81,0.010213247888609576,98.938,1.878372500538826,64.01
82,0.008516358253319778,99.134,1.8562540936470031,64.28
83,0.005953033991834468,99.388,1.8261536169052124,64.86
84,0.0042661220934527835,99.494,1.8041277945041656,65.32
85,0.0040195552909703895,99.66,1.7859235942363738,65.47
86,0.002818564800998134,99.718,1.7557794296741485,65.65
87,0.0024294446441618833,99.8,1.7308972835540772,65.92
88,0.002409199522772466,99.824,1.710821396112442,66.15
89,0.0017806337973641237,99.852,1.683878948688507,66.55
90,0.0015429225452530109,99.896,1.6907824993133544,66.14
91,0.0013059831341690458,99.92,1.6671552753448486,66.64
92,0.0015112575589586287,99.892,1.6572841322422027,66.67
93,0.00122722672879734,99.93,1.645297127366066,66.64
94,0.0012736227795067231,99.918,1.6433106714487076,67.0
95,0.0012503629252600395,99.93,1.621121565103531,67.43
96,0.0011607860414492314,99.95,1.6220882135629653,66.7
97,0.0011724921385817173,99.938,1.6067923867702485,67.0
98,0.0009784058812419738,99.938,1.6076648008823395,66.86
99,0.0009577407524265978,99.952,1.6198439526557922,67.07
100,0.0009832491223162034,99.958,1.5935933643579483,67.2
