Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.060389195561714,1.336,4.549125218693214,1.91
2,1.0366155387800369,2.308,4.441755548308167,2.92
3,1.0019022936711226,3.59,4.326004553444778,4.08
4,0.9709239152386365,4.868,4.205057817169383,4.96
5,0.938001095486419,7.008,4.0555685652962215,8.66
6,0.9038722204125446,8.992,3.9527074988884263,9.43
7,0.8662921620147003,11.312,3.9355302822740774,10.23
8,0.8244642985751257,14.306,3.71780051460749,14.16
9,0.7609530312325948,18.226,3.6253838026070895,15.99
10,0.7140204412553012,22.532,3.1913158078736896,21.53
11,0.6595143387689615,27.118,3.0037680245652982,25.59
12,0.62092599966337,31.192,2.6998252053804035,31.81
13,0.5797473609904804,35.008,2.5174549923667424,35.07
14,0.5373795660560393,38.486,2.379252560531037,38.64
15,0.5173224036955772,40.672,2.281240476837641,39.66
16,0.691019012495075,22.572,3.135363934915277,23.05
17,0.6405559201984454,28.506,3.0188799477830717,24.77
18,0.6091934427275987,32.054,2.8078124553342407,29.17
19,0.5899133109070761,34.478,2.934921415546272,27.22
20,0.5604251912792625,37.204,2.6648546834535236,33.24
21,0.5474894491912764,38.616,2.6770230667500554,32.33
22,0.5310308936306888,39.864,2.8044583646556998,32.57
23,0.5120649240205964,41.538,2.3367417371725736,39.32
24,0.5039160617477144,43.064,2.54028322123274,35.17
25,0.4799986092940621,44.714,2.461165314988245,37.08
26,0.4748902390984928,46.106,2.345309372189679,39.0
27,0.46617765194924593,47.412,2.119673659529867,44.91
28,0.4380731975940792,49.248,2.043526166602026,45.87
29,0.43114501344578343,50.666,2.105160378202607,44.79
30,0.4149831097449183,52.162,2.0397835879386226,46.21
31,0.3945087517618828,53.964,2.0303804572624498,46.57
32,0.3800773105353041,55.36,1.8327662009227126,50.22
33,0.37404668148216386,56.676,1.9175766631017757,48.51
34,0.3512324509413346,58.41,1.7747847279415856,52.67
35,0.3400295485011147,60.208,1.68907238410998,54.74
36,0.3135139984852823,62.694,1.6813529850561408,54.16
37,0.2997556456824398,64.418,1.5316231733636012,58.1
38,0.2821062092890825,66.166,1.4907167636895482,59.13
39,0.2593036705575636,68.344,1.3814273650133158,61.85
40,0.24214686091293763,70.776,1.3530487893502923,62.32
41,0.2218505529796376,72.792,1.2665176844295067,64.76
42,0.2090133747176441,74.638,1.211098452157612,66.06
43,0.19650211434839937,76.03,1.1877277357668816,67.46
44,0.18449993892703825,77.572,1.149924414821818,67.58
45,0.18133662850655557,78.11,1.139031838767136,68.03
46,0.48237696511056416,42.238,2.6085058677045603,35.75
47,0.4500205818649448,47.42,2.827396320391305,33.97
48,0.4416918044200029,49.192,2.1907061353514465,43.37
49,0.44259058301101256,49.804,2.193981187253059,43.29
50,0.43279094860681794,50.238,2.5311475222623803,38.37
51,0.425689958245553,50.742,2.438533941401711,39.25
52,0.42276109575920395,51.312,2.4589620240126986,39.49
53,0.4252385449836321,51.572,2.272883375988731,41.75
54,0.41923531729851843,52.258,2.1706242787687082,43.88
55,0.41577593322910006,52.584,2.134827471986602,44.88
56,0.40617838448575694,52.608,2.122045996822888,44.53
57,0.407659079107787,53.274,2.1936969726900513,44.37
58,0.4041698302149468,53.502,2.193015062356297,43.62
59,0.39376235099704676,53.816,2.039440376849114,46.71
60,0.4026271120056777,54.56,2.340966656238218,42.62
61,0.39318151577659277,54.834,2.151327501369428,45.3
62,0.39322241340451836,54.978,2.0852088762235037,46.27
63,0.3823366308456187,55.654,2.20147626460353,43.31
64,0.37449490871575786,55.814,1.974615860588943,48.47
65,0.3736646958934072,56.61,1.9846901169306115,48.07
66,0.3750295632940424,57.198,2.331070779245111,44.23
67,0.36418472897366183,57.332,1.9848464999017836,48.87
68,0.3717014643237414,57.996,1.9421839834768562,49.47
69,0.3554735924581737,58.262,1.945257370985007,49.78
70,0.3500307200814757,58.892,1.944752721846858,50.0
71,0.3452825247479217,59.724,1.8721068071413645,50.8
72,0.34645208464863964,60.284,1.837330907205992,50.85
73,0.34109293865730694,60.666,1.8938098421579674,49.86
74,0.3272287915734684,61.744,1.6806652636467656,55.08
75,0.3260783188788177,62.102,1.6945144194590895,54.77
76,0.3261300874183245,62.564,1.710868948622595,54.3
77,0.3085596445576309,63.674,1.744509678852709,53.5
78,0.30710332442427535,64.326,1.8116235370877423,52.11
79,0.2894910407798065,65.176,1.695159154602244,55.1
80,0.29228160082531707,65.8,1.7067413013192672,54.41
81,0.2822262225553508,66.648,1.5939066621321667,57.39
82,0.2727551217884054,68.042,1.5500548851640918,58.32
83,0.26579041508457546,68.622,1.6213920712471008,57.38
84,0.26338198712414795,69.362,1.4398257641852656,60.34
85,0.2504245224206344,70.882,1.406296708915807,61.58
86,0.239715103298197,71.554,1.4687225033965292,60.4
87,0.2296022030398669,72.456,1.4448664746706998,60.84
88,0.21730909353631842,73.89,1.3403104407877862,63.91
89,0.21052872677288398,75.042,1.3619342944290065,63.58
90,0.1946084183805129,76.456,1.3037038981160032,64.59
91,0.1881107204710431,77.786,1.28330291600167,64.73
92,0.17739604059082772,79.108,1.254081744936448,65.37
93,0.16685182671717672,80.098,1.2355536992036844,66.93
94,0.15407009853426454,81.716,1.195491062689431,67.53
95,0.13939118370070785,82.938,1.1467393319818038,68.58
96,0.13215886784331574,83.986,1.1094979206217994,69.98
97,0.12258241213191196,85.006,1.0810277756256392,70.44
98,0.11494156352394377,86.354,1.039636362957049,71.03
99,0.10743994286755466,87.388,1.0213837495333031,71.97
100,0.10181432832842288,87.96,1.02716610929634,71.89
